DATE              MODEL                 MARKET            CUSTOMER                  SUBTOTAL       FINANCING        INSURANCE BROKER                INSURANCE CONTACT           NOTES
2025-01-01        Tesla Model 3         COMMERCIAL        Whitaker Enterprises       44,990        36               WPG INSURANCE BROKERS LTD       Olivia Bennett
2025-01-02        Tesla Model X         CONSUMER          Morgan Fairbanks          101,250        72               RED RIVER MUTUAL                Ethan Carter
2025-01-03        Tesla Model Y         CONSUMER          Jamie Ellsworth            52,990        48               WESTLAND INSURANCE              Sophia Mitchell
2025-01-04        Tesla Model S         CONSUMER          Alex Pennington            90,500        84               JEM INSURANCE                   Jackson Reed
2025-01-05        Tesla Roadster        CONSUMER          Taylor Hollis             199,000        84               WYATT DOWLING INSURANCE BRO     Ava Harrison
2025-01-06        Tesla Model 3         CONSUMER          Jordan Fairchild           45,750        72               AVANT INSURANCE BROKERS LTD     Liam Sullivan
2025-01-07        Tesla Model X         CONSUMER          Casey Underwood            98,990        36               INTACT INSURANCE                Emma Brooks
2025-01-08        Tesla Model Y         COMMERCIAL        Sterling Carbon LLC.       50,990        36               HUB INTERNATIONAL               Noah Patterson
2025-01-09        Tesla Model S         CONSUMER          Drew Calloway              91,750        72               RED RIVER MUTUAL                Isabella Hayes
2025-01-10        Tesla Roadster        CONSUMER          Sam Aldridge              204,000        60               MORRIS INSURANCE BROKERS        Mason Wright
2025-01-11        Tesla Model X         CONSUMER          Peyton Kensington         100,250        72               CANADA-WEST ASSURANCE           Charlotte Foster
2025-01-12        Tesla Model 3         COMMERCIAL        Thornton Group Inc.        46,250        48               HUB INTERNATIONAL               Lucas Dawson
2025-01-13        Tesla Model Y         CONSUMER          Charlie Lockwood           53,500        36               WESTLAND INSURANCE              Amelia Grant
2025-01-14        Tesla Model S         CONSUMER          Frankie Holloway           92,990        48               GEMSTAR INSURANCE               Benjamin Cooper
2025-01-15        Tesla Model X         CONSUMER          Alex Radcliffe             97,500        48               BELL INSURANCE AGENCIES LTD     Harper Wallace
2025-01-16        Tesla Model Y         CONSUMER          Taylor Winslow             51,750        36               WESTERN FINANCIAL GROUP INC     Henry Bryant
2025-01-17        Tesla Model 3         CONSUMER          Cameron Ashford            44,500        36               ONE INSURANCE KILDONAN          Evelyn Scott
2025-01-18        Tesla Model X         CONSUMER          Morgan Devereaux           99,750        72               WYATT DOWLING INSURANCE BRO     Alexander Coleman
2025-01-19        Tesla Model Y         CONSUMER          Jordan Callahan            52,250        36               HUB INTERNATIONAL               Scarlett Newman
2025-01-20        Tesla Model S         CONSUMER          Logan Delacroix            93,500        48               TEAM INSURANCE BROKERS INC      James Vaughn
2025-01-21        Tesla Model 3         CONSUMER          Casey Lancaster            46,750        48               WESTERN FINANCIAL GROUP INC     Lily Simmons
2025-01-22        Tesla Roadster        CONSUMER          Drew Montague             201,500        84               WPG INSURANCE BROKERS LTD       Daniel Bishop
2025-01-23        Tesla Model X         CONSUMER          Jamie Simmons              98,250        72               INTACT INSURANCE                Aria Fletcher
2025-01-24        Tesla Model Y         CONSUMER          Peyton Caldwell            50,500        36               GEMSTAR INSURANCE               Matthew Lawson
2025-01-25        Tesla Model S         CONSUMER          Alex Holloway              94,000        48               AVANT INSURANCE BROKERS LTD     Chloe Barrett
2025-01-26        Tesla Model 3         CONSUMER          Charlie Beckett            45,250        36               JEM INSURANCE                   William Stevenson
